,Algorithm,Run,Step,Mean Reward,Uncertainty,Distance,Collisions,RMSE
0,Epsilon DRL,0,0,1.497288585827767e+00,0.3654454733913873,16.19901032802029,0,18.42998267541247
1,Epsilon DRL,0,1,2.856353865332684,0.3610401616537937,15.863253117114283,0,18.286865272079794
2,Epsilon DRL,0,2,4.220186904097757,0.3566193616865889,15.538531860367453,0,18.137403414662785
3,Epsilon DRL,0,3,5.565883953522072,0.3522573469740224,15.519414870382207,0,17.985349587407878
4,Epsilon DRL,0,4,6.902292514844756,0.3479254397304297,15.509788841433757,0,17.828985797629286
5,Epsilon DRL,0,5,8.227560852468235,0.3436296430134406,15.214128923774409,0,17.668501216639303
6,Epsilon DRL,0,6,9.589781207995939,0.3392140680148438,14.932921137631588,0,17.499521071396444
7,Epsilon DRL,0,7,10.915790961978134,0.33491586803679513,14.490420480436761,0,17.325185459116206
8,Epsilon DRL,0,8,12.26009607335828,0.3305583645735903,14.074604370682595,0,17.14449873190527
9,Epsilon DRL,0,9,13.61831144521809,0.32615577242852173,13.690838212486655,0,16.95968225991694
10,Epsilon DRL,0,10,14.96297769816841,0.32179710451942684,13.347552954702957,0,16.77128000319056
11,Epsilon DRL,0,11,16.28713965219285,0.31750491022806226,12.949396600421505,0,16.58110039067169
12,Epsilon DRL,0,12,17.627650640750844,0.3131597747956956,12.57131090487689,0,16.388232866693347
13,Epsilon DRL,0,13,18.99511532974356,0.3087272360867582,12.449502599960455,0,16.206167468483937
14,Epsilon DRL,0,14,20.256167630305555,0.3046395940410154,12.852103743866644,0,16.043031130594084
15,Epsilon DRL,0,15,21.488125275662735,0.3006462665356466,13.404041065569404,0,15.888919467209256
16,Epsilon DRL,0,16,22.782058522943665,0.29645204201744585,14.056033954701114,0,15.728873552339222
17,Epsilon DRL,0,17,24.078645696702555,0.29224921418901956,14.792588371981518,0,15.562766558936499
18,Epsilon DRL,0,18,25.388460919202338,0.28800350823826676,15.739452350208765,0,15.398590963236629
19,Epsilon DRL,0,19,26.75292498714976,0.2835806603909759,16.723685719708847,0,15.23314482384534
20,Epsilon DRL,0,20,28.13581053337657,0.27909810000117774,17.72749979340717,0,15.069953842986614
21,Epsilon DRL,0,21,29.4904968164614,0.27470694680730723,18.700772065652824,0,14.913913069526897
22,Epsilon DRL,0,22,30.830829741841946,0.2703623189875033,19.678722439677536,0,14.765341977773522
23,Epsilon DRL,0,23,32.171585494756464,0.2660163205156998,20.52541285073817,0,14.62672976249811
24,Epsilon DRL,0,24,33.518191407259295,0.26165135894051994,21.3840781809294,0,14.493341551677156
25,Epsilon DRL,0,25,34.86554865715233,0.25728396250746316,21.822753914976825,0,14.372859842388602
26,Epsilon DRL,0,26,36.20599698654307,0.2529389610252807,21.991753386908854,0,14.255061055172401
27,Epsilon DRL,0,27,37.56030599182901,0.24854903079403728,22.231406139859526,0,14.14587816268296
28,Epsilon DRL,0,28,38.88607903435657,0.24425159825273474,22.934164904458385,0,14.04846434117347
29,Epsilon DRL,0,29,40.19472879159304,0.2400096700837352,22.84523521709976,0,13.967529219535534
30,Epsilon DRL,0,30,41.462915022807685,0.235898902661428,22.54574741614503,0,13.890807348775333
31,Epsilon DRL,0,31,42.58806062456835,0.23225179691696657,21.83813213477614,0,13.853035065868673
32,Epsilon DRL,0,32,43.57539361660041,0.2290514138667953,21.03590819607816,0,13.834058144779164
33,Epsilon DRL,0,33,44.5489523365412,0.22574075908859534,20.270539094406438,0,13.799778690715979
34,Epsilon DRL,0,34,45.64996186323294,0.22190561470754122,19.506371238513182,0,13.736233605997631
35,Epsilon DRL,0,35,46.85176025779897,0.21787327715166574,18.82765006201553,0,13.654987584707355
36,Epsilon DRL,0,36,48.07364713575291,0.21368996333443893,18.098400875081904,0,13.565041006638864
37,Epsilon DRL,0,37,49.19477432527087,0.20992417060688914,17.726443272690847,0,13.475955941242608
38,Epsilon DRL,0,38,50.304527808945444,0.20625382069613804,17.087301127141682,0,13.383431015135606
39,Epsilon DRL,0,39,51.32865813562332,0.20289311184713207,16.39495466961828,0,13.285106002834738
40,Epsilon DRL,0,40,52.275212289788705,0.19978362357591756,15.723228765324471,0,13.185184122050606
41,Epsilon DRL,0,41,53.0601647867652,0.19723926073418319,15.167209011650595,0,13.08824306806974
42,Epsilon DRL,0,42,53.91147411136128,0.19447986370187317,14.617167014049366,0,12.985605560230123
43,Epsilon DRL,0,43,54.882712566333964,0.19133168836153894,14.156306869734959,0,12.860116233428977
44,Epsilon DRL,0,44,55.97633735841505,0.18778676764414617,13.889151729209273,0,12.726543766042818
45,Epsilon DRL,0,45,57.11365375537431,0.18410020838757757,13.456635179290311,0,12.58114402696914
46,Epsilon DRL,0,46,58.27639483863284,0.1803312416064551,12.681197962207277,0,12.434095371843705
47,Epsilon DRL,0,47,59.473046778179025,0.17645236468832443,11.837327940333394,0,12.288121030885081
48,Epsilon DRL,0,48,60.55111241823821,0.1729578758611708,11.02045157003346,0,12.16651841858494
49,Epsilon DRL,0,49,61.512728351615976,0.16984084810712108,10.514738124840646,0,12.07313758743932
50,Epsilon DRL,0,50,62.52369068362385,0.1665638753853446,10.680079261045616,0,11.93261261030424
51,Epsilon DRL,0,51,63.59686961094474,0.1630852276251322,10.876426914955193,0,11.766083299028068
52,Epsilon DRL,0,52,64.73301453467568,0.1594024776666484,11.099955336957976,0,11.588062019579947
53,Epsilon DRL,0,53,65.84434883387424,0.1558001413956474,11.000022372684818,0,11.421481361152363
54,Epsilon DRL,0,54,66.99559731108862,0.15206844107941914,11.000022372684818,0,11.233843176267694
55,Epsilon DRL,0,55,68.00920993806024,0.14878287734114745,11.312476766436081,0,11.112613347295005
56,Epsilon DRL,0,56,68.97880080922337,0.14564005796895418,10.917929621180628,0,10.99287360796207
57,Epsilon DRL,0,57,69.91305476372261,0.14261208142765358,10.917929621180628,0,10.895219233298274
58,Epsilon DRL,0,58,70.70578939186447,0.14000078503871816,10.994139508709669,0,10.803956645725824
59,Epsilon DRL,0,59,71.51293063815467,0.1372397280974335,11.338815292900989,0,10.71146770964815
60,Epsilon DRL,0,60,72.34476467173641,0.13430450610923927,11.651977903796162,0,10.59571491885939
61,Epsilon DRL,0,61,73.1145918741999,0.13148542706219246,12.001248154973014,0,10.47921492890542
62,Epsilon DRL,0,62,73.86175958344384,0.12881600176527086,12.336122882687777,0,10.35708314150955
63,Epsilon DRL,0,63,74.68769241204637,0.12610096332385945,13.208094068553088,0,10.233004865077048
64,Epsilon DRL,0,64,75.54048537736722,0.12333670572025615,13.897963412736754,0,10.11600658750536
65,Epsilon DRL,0,65,76.30301943806782,0.12086506005360362,14.335669693610022,0,10.026068703419982
66,Epsilon DRL,0,66,76.84760909683307,0.11909985561758389,14.30002899929163,0,9.959724569935325
67,Epsilon DRL,0,67,77.34915168710602,0.11747556863645378,13.844788384192935,0,9.900321293951421
68,Epsilon DRL,0,68,77.9331919228936,0.11558244347938927,13.418995450051593,0,9.817456364984542
69,Epsilon DRL,0,69,78.66093674160467,0.11322349492812432,13.289189314225624,0,9.737037980124489
70,Epsilon DRL,0,70,79.21388203222456,0.11143129836243314,13.267695224516642,0,9.658160102797268
71,Epsilon DRL,0,71,79.81904641404525,0.10946971284659403,13.224175762668217,0,9.604724990610453
72,Epsilon DRL,0,72,80.50197898856625,0.10725621063517327,13.608126448286278,0,9.521082522821708
73,Epsilon DRL,0,73,81.33667042155804,0.10450945981835434,14.05497177129596,0,9.365758401494329
74,Epsilon DRL,0,74,82.0569319240461,0.10211534315741815,14.732672293140503,0,9.249852100980934
75,Epsilon DRL,0,75,82.93391096266056,0.09927266248087967,15.844074554984882,0,9.127373706038577
