,Algorithm,Run,Step,Mean Reward,Uncertainty,Distance,Collisions,RMSE
0,Random Wanderer,0,0,1.492836062332779e+00,0.3654629701630884,17.589949453327844,0,0.5122808530467576
1,Random Wanderer,0,1,2.817298646405466,0.3611697850805784,18.202094141345427,0,0.42702449231266937
2,Random Wanderer,0,2,4.07192204314519,0.357102980533739,18.91763889873542,0,0.37641062673688097
3,Random Wanderer,0,3,5.166295503521373,0.3535556188510837,19.422073355762134,0,0.2632433981203119
4,Random Wanderer,0,4,6.267205508583002,0.3499870692603356,19.48887592888906,0,0.1916072376731318
5,Random Wanderer,0,5,7.359238099158471,0.3464472954113421,19.618257649917368,0,0.17396660654405688
6,Random Wanderer,0,6,8.443205404203447,0.34293366483538307,19.804998345365156,0,0.16204856865500444
7,Random Wanderer,0,7,9.537480838554478,0.33938662089710075,19.751437882779612,0,0.1393789655154025
8,Random Wanderer,0,8,10.795876010328584,0.3353075908083204,19.768429668586275,0,0.1277962335391963
9,Random Wanderer,0,9,12.127815715657093,0.3309901699177847,19.86178359706315,0,0.11749072894115112
10,Random Wanderer,0,10,13.439136380018295,0.32673958376035606,20.03582356281467,0,0.10968756435363979
11,Random Wanderer,0,11,14.641707003409493,0.32284150775300624,20.29111014308148,0,0.10379141984010198
12,Random Wanderer,0,12,15.698307677461386,0.31941658501257697,20.624493032613373,0,0.0995975811950566
13,Random Wanderer,0,13,16.65293226857113,0.3163222129968805,21.031774964399787,0,0.09712786235456423
14,Random Wanderer,0,14,17.373837524959146,0.313985431471781,21.51131615584903,0,0.09682701951511624
15,Random Wanderer,0,15,18.206056931853855,0.3112878303429757,21.340605416567932,0,0.09359485381769467
16,Random Wanderer,0,16,19.118294921598284,0.308330853753477,21.260913036801373,0,0.09935325372445919
17,Random Wanderer,0,17,20.117523395308847,0.3050919006018598,21.294833492172376,0,0.10607842448523744
18,Random Wanderer,0,18,21.137373396518583,0.30178610924992366,21.458669793733655,0,0.11162899464073782
19,Random Wanderer,0,19,22.202435681242957,0.29833375977420673,21.749454845777535,0,0.11517743356191941
20,Random Wanderer,0,20,23.319095531006163,0.2947141578914439,22.14784353448407,0,0.11566173992582982
21,Random Wanderer,0,21,24.471536242913235,0.2909785738879736,22.173092973788634,0,0.11248022662812204
22,Random Wanderer,0,22,25.680721516405598,0.28705905494489803,22.264215340296804,0,0.10556205586689155
23,Random Wanderer,0,23,26.8856506095729,0.28315333221569355,22.41113717228295,0,0.09541315444423705
24,Random Wanderer,0,24,27.832713444336786,0.2800834712083422,22.607927970891815,0,0.08308967635067965
25,Random Wanderer,0,25,28.649056027255096,0.27743733393850994,22.85189328989917,0,0.0701373147265191
26,Random Wanderer,0,26,29.366014622112115,0.2751133453356205,23.14343466091501,0,0.058428662265261416
27,Random Wanderer,0,27,30.05025225309581,0.27289542024882174,23.224593773285502,0,0.04985550789672902
28,Random Wanderer,0,28,30.95366524722946,0.269967048227919,22.749315013009426,0,0.043362744772389356
29,Random Wanderer,0,29,32.00338393478642,0.26656443316378514,22.3417876365773,0,0.03970191105143439
30,Random Wanderer,0,30,33.122948168346696,0.2629354200643964,22.023406535850814,0,0.037629962110977785
31,Random Wanderer,0,31,34.25842922873321,0.2592548102492291,21.812461109608062,0,0.036405072080859024
32,Random Wanderer,0,32,35.38252068614262,0.2556111192564357,21.712675698261958,0,0.035870043999992614
33,Random Wanderer,0,33,36.523130617944396,0.25191388464225806,21.393784505288266,0,0.035694272169485355
34,Random Wanderer,0,34,37.66832534546376,0.24820178822549652,21.166900388546413,0,0.03576038374969
35,Random Wanderer,0,35,38.79199403589167,0.2445594674115454,21.022922494142048,0,0.03583118685841862
36,Random Wanderer,0,36,39.943059282077535,0.24082834188966978,20.951372027490443,0,0.03583960315165407
37,Random Wanderer,0,37,41.0963681815545,0.23708994366607328,20.944432633068963,0,0.035786644870517734
38,Random Wanderer,0,38,42.07478844205423,0.2339184389992483,20.997753611723063,0,0.035715103715324666
39,Random Wanderer,0,39,42.886265890145324,0.23128807187264355,21.109710678513014,0,0.035656823773672006
40,Random Wanderer,0,40,43.535817215141776,0.22918258110938602,20.92783035557261,0,0.035678762729363454
41,Random Wanderer,0,41,44.07157665100356,0.22744594558228742,20.80220766554762,0,0.03569397033097227
42,Random Wanderer,0,42,44.52495832800532,0.225976441577039,20.738958185824224,0,0.03573003591640731
43,Random Wanderer,0,43,45.03632399117384,0.22426877824462882,20.74863360688846,0,0.03575350099962774
44,Random Wanderer,0,44,45.55910645054916,0.22240551366810243,20.850386988008438,0,0.0345494526476898
45,Random Wanderer,0,45,46.12084314784424,0.22034959180642458,21.076216772413417,0,0.032667730830584656
46,Random Wanderer,0,46,46.76559240136842,0.2180479583312077,21.45680171816096,0,0.03070013487310427
47,Random Wanderer,0,47,47.34174319059226,0.21580536283664375,21.801818040682786,0,0.030197637584883325
48,Random Wanderer,0,48,47.78768528471249,0.21400708636376245,22.38874230768265,0,0.03022213967521726
49,Random Wanderer,0,49,48.071802945796314,0.21289516002164327,22.442413620114472,0,0.030161662909495398
50,Random Wanderer,0,50,48.14676023574748,0.2124613435624997,22.02521534280454,0,0.030192743439138855
51,Random Wanderer,0,51,48.27771647642729,0.21185624516373044,21.61243977532683,0,0.03018160293366404
52,Random Wanderer,0,52,48.66959255284669,0.21040145393618126,21.20443609564715,0,0.030447316396706302
53,Random Wanderer,0,53,49.22942967751997,0.20839676790487255,20.801603154772977,0,0.030322029689612014
54,Random Wanderer,0,54,49.99144166823983,0.20573843818529225,20.404401458987294,0,0.030178316203347717
55,Random Wanderer,0,55,50.84653853019022,0.20277619869830799,20.013369071102254,0,0.030030274725964725
56,Random Wanderer,0,56,51.815617736694655,0.19944802741314338,19.10958212888568,0,0.029934183219352154
57,Random Wanderer,0,57,52.882448719381784,0.19580172918829278,18.28858054194575,0,0.029918190885354183
58,Random Wanderer,0,58,53.95218767583598,0.1921443007722516,17.582833553810893,0,0.029982566526674772
59,Random Wanderer,0,59,54.94448951634559,0.18874020505316028,17.02577188902227,0,0.030107128801829523
60,Random Wanderer,0,60,55.90008157152472,0.185455351248969,16.635206838074176,0,0.03025874663145413
61,Random Wanderer,0,61,56.88061812802511,0.1820878939792277,16.402626988289605,0,0.030391100695375855
62,Random Wanderer,0,62,57.66310622232203,0.1793634123656322,16.301938204364944,0,0.03059318708425057
63,Random Wanderer,0,63,58.34609467911506,0.17698429403679652,16.304419153817918,0,0.030562388986578554
64,Random Wanderer,0,64,58.90988699181495,0.1748153249415428,16.13420755068101,0,0.03010463943080939
65,Random Wanderer,0,65,59.430293295499624,0.17272326982878633,16.03932218223044,0,0.028774122708297364
66,Random Wanderer,0,66,59.92268595246166,0.17072201967488793,15.702004980955449,0,0.02654734112404343
67,Random Wanderer,0,67,60.37578194272193,0.16884814787555463,15.876173553104325,0,0.02499808737874833
68,Random Wanderer,0,68,60.87348088146425,0.16682969765344058,16.08677299627355,0,0.023718920567662335
69,Random Wanderer,0,69,61.49565578022254,0.1644477213990418,15.890789942392198,0,0.023310277994714565
70,Random Wanderer,0,70,62.2944728983685,0.16161396078723056,15.770836614362763,0,0.023910390201663245
71,Random Wanderer,0,71,63.15763615891395,0.15850102036836491,15.741110376774786,0,0.025261045776532962
72,Random Wanderer,0,72,64.0470164229519,0.1553314884836082,15.337569146085107,0,0.02601664383318608
73,Random Wanderer,0,73,65.00621008351224,0.151973578467973,15.038084584135165,0,0.025152428063274928
74,Random Wanderer,0,74,66.00995023692815,0.14836469539434022,14.852657933633722,0,0.021992432258599218
75,Random Wanderer,0,75,67.01181761127786,0.14465825059542614,14.800619226426221,0,0.017359832437171614
76,Random Wanderer,0,76,67.98271991874307,0.1410140118898649,14.913195164096988,0,0.012879530549866465
