,Algorithm,Run,Step,Mean Reward,Uncertainty,Distance,Collisions,RMSE
0,Noisy DRL,0,0,1.5091727816197669e+00,0.3654069513124644,15.474016296227397,0,0.9676325796838181
1,Noisy DRL,0,1,2.852735174558127,0.36105186287053137,14.948763034739972,0,1.007660155087595
2,Noisy DRL,0,2,4.179416850353498,0.35675148516058525,14.454224259766864,0,1.0018635960931694
3,Noisy DRL,0,3,5.4843195324073575,0.35252170299472546,13.945633345776072,0,1.002641213123565
4,Noisy DRL,0,4,6.77146735542713,0.34834947253017007,13.151167817727806,0,0.9711639701626597
5,Noisy DRL,0,5,8.059593212344232,0.34417407357244345,12.382887932919514,0,0.9370290854690676
6,Noisy DRL,0,6,9.37322490499694,0.339916020790716,11.64941308003637,0,0.8898040058963664
7,Noisy DRL,0,7,10.673927065909556,0.33569987849747185,11.319492739804895,0,0.8394419349220528
8,Noisy DRL,0,8,11.997893450319642,0.3314083111891061,10.844023086339034,0,0.7827197029520304
9,Noisy DRL,0,9,13.25406850070435,0.32733648278936084,11.167612374628098,0,0.7276669749565985
10,Noisy DRL,0,10,14.563908305936216,0.3230906973453999,11.486958869214412,0,0.6818847197290756
11,Noisy DRL,0,11,15.850003364575528,0.31892187899775526,11.660613965198367,0,0.6315592275640936
12,Noisy DRL,0,12,17.068747645906008,0.31497138088554305,11.330683711239077,0,0.4884425338847092
13,Noisy DRL,0,13,18.348624164642338,0.3108227196935931,11.41917910919173,0,0.4672958208538552
14,Noisy DRL,0,14,19.66910711463372,0.3065424360779223,11.609170168426093,0,0.44822471406193715
15,Noisy DRL,0,15,20.954057723716325,0.3023773482331137,12.21225240898714,0,0.43405858392731755
16,Noisy DRL,0,16,22.26268051278406,0.2980880857421107,12.88258837273638,0,0.423617587642044
17,Noisy DRL,0,17,23.591200403892174,0.29375603050411786,13.425907872496865,0,0.41491144381807016
18,Noisy DRL,0,18,24.791596157061047,0.2898650286381305,13.669420417147219,0,0.4080723813378758
19,Noisy DRL,0,19,25.760547274367443,0.2867242243302894,14.350848890649555,0,0.40556446003187074
20,Noisy DRL,0,20,26.81387148986824,0.28330992220566403,14.891770873015838,0,0.2882588301577661
21,Noisy DRL,0,21,27.81011952829768,0.2800806296481291,15.172961099523357,0,0.2943618826277788
22,Noisy DRL,0,22,28.956864593017585,0.276363507794955,16.070305061178804,0,0.2107764529652418
23,Noisy DRL,0,23,30.12808126741838,0.27256706233468864,16.76263919105335,0,0.16677392271940933
24,Noisy DRL,0,24,31.343056657338234,0.2686287749925633,17.46509961120985,0,0.1295381491115843
25,Noisy DRL,0,25,32.59536765543183,0.26456946597843456,18.49368569837893,0,0.07975038395195654
26,Noisy DRL,0,26,33.94089007013639,0.2602080164063674,19.066880946930656,0,0.0747379095959266
27,Noisy DRL,0,27,35.26510836104731,0.25591562318041605,19.761359319623537,0,0.0677545441313046
28,Noisy DRL,0,28,36.61819309637632,0.25152966069083516,20.31067776743259,0,0.06553694728372847
29,Noisy DRL,0,29,37.99186205003804,0.24707697539587015,20.87921314906417,0,0.03127588536839411
30,Noisy DRL,0,30,39.37019166769034,0.2426091827713932,21.65456258901746,0,0.03233150055036149
31,Noisy DRL,0,31,40.68589947987019,0.2383443758743276,22.388970054756065,0,0.034820156491879736
32,Noisy DRL,0,32,42.02672711146144,0.2339981442277104,23.167850081219584,0,0.03459408282472293
